Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Optionable,Shares Outstanding (mil),Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.,Beta,Current Assets  ($mil),Intangibles ($mil),Inventory ($mil),Receivables ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,S&P 500 - ETF,Avg Volume,52 Week High,52 Week Low,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),12 Mo Trailing EPS,Last Qtr EPS,Last EPS Report Date (yyyymmdd),Next EPS Report Date  (yyyymmdd),Last Reported Qtr (yyyymm),Actual EPS used in Surprise ($/sh),Avg EPS Surprise (Last 4 Qtrs),Previous EPS Surprise (%),Last EPS Surprise (%),Average Target Price,% Rating Downgrades ,% Rating Upgrades ,% Rating Hold,# Rating Downgrades ,# Rating Upgrades,Change in Avg Rec ,Rank in Industry (of ABR),Industry Rank (of ABR),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,# Rating Strong Sell or Sell,# Rating Hold,% Rating Strong Buy or Buy,# Rating Strong Buy or Buy,# of Brokers in Rating,Current Avg Broker Rec,P/E (F1),% Change F1 Est. (4 weeks),Div. Yield %,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,# of Analysts in Q2 Consensus,F0 Consensus Est.,St. Dev. Q2 / Q2 Consensus,# of Analysts in F0 Consensus,# of Analysts in F1 Consensus,St. Dev. F1 / F1 Consensus,# of Analysts in F2 Consensus,5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,% Change EPS (F(-1)/F(-2)),Last Yr`s Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),P/E (Trailing 12 Months),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales ($mil),Cost of Goods Sold ($mil),EBITDA ($mil),EBIT ($mil),Pretax Income ($mil),Net Income  ($mil),Cash Flow ($mil),Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin %,Operating Margin 12 Mo %,Turnover,Inventory Turnover,Asset Utilization
Hagerty,HGTY,3069.68,NYSE,12,Finance,Insurance - Property and Casualty,YES,341.08,9,0.24,202412,0.31,0.41,0.84,858.40502,204.22999,0,258.941,915.44598,104.968,84.663,523.50598,1.53,14.71899,0.2005,0.94,0.94,0.65483,NO,78708,12.1,8.44,-1.96,-10.71,-8.91,-6.74,0.23,0.02,20250304,20250506,202412,0.01999,32.29,-37.5,100,11,0,0,66.67,0,0,0,42,179,0,33.33,1,2,0,0,3,3.67,29.35,-14.82,0,15.3,-0.12,50,-58.82,-7.32,,-11.83,0.01,3,0.02,3,0.13,0.65,3,0.22,0.09,3,3,0.01882,3,,,168.02,500,27.78,116.67,58.33,19.98,25.33,1352.33996,301.07,39.13,21.95,,25.09,5.86,2.56,13.54,9.74,-3.19771,3.82,-0.95227,1023.22503,1200.04,0,129.201,93.68199,93.68199,17.017,122.36599,-15.88652,168.02,7840.38183,0,,0,4.11,5.43,4.19169,,0.70309
Hilton Grand Vacations,HGV,3537.29,NYSE,12,Consumer Discretionary,Hotels and Motels,YES,94.66,37.37,2.73,202412,3.44,4.27,1.84,6331,3772,2244,315,1351,6919,0,1895,19.24,78.5,3.65118,4.69,3.03,2.792,NO,1252581,47.75,33.7,-0.95,-12.07,-2.56,-4.06,2.73,0.49,20250227,20250508,202412,0.49,-15.24,-4.29,-35.53,47.8,0,0,40,0,0,0,6,165,0,10,1,4,50,5,10,2.25,10.86,10.58,0,26.12,0.44,4.42,-20.95,12.42,288.47,-9.2,0.76,4,0.58,4,0.86,0.26,3,3.36,0.13,4,5,0.12913,4,60.53,20.55,-84.98,-24.79,26.01,119.39,61.58,25.21,43.86,5410.56982,1240.69995,13.69,8.76,0.53,5.82,1.94,0.71,13.83,3.22,4.72739,2.46,3.50049,707.45886,4981,3130,816,465,136,47,632,-84.98403,-84.98,-70.58824,0,,0,0.94,5.64,11.359,1.52289,0.43571
HOWARD HUGH HLD,HHH,3749.12,NYSE,12,Finance,Real Estate - Development,YES,50.4,74.38,5.73,202412,0.92,4.85,1.48,1567.09997,0,0,568.984,1092.45996,5127.46923,0,2840.30102,56.65,64.35299,1.80525,1.43,1.43,0.91364,NO,349059,86.88,59.39,-1.67,-3.93,-1.89,-3.3,4.56,3.25,20250226,20250514,202412,3.25,234.73,926.32,14.04,91.33,0,0,0,0,0,0,1,198,0,0,0,0,100,3,3,1,80.85,0,0,54.53,1.37,0,0,0,,0,2.85,1,0.01,1,0.61,,1,3.7,,1,1,,1,62.51,,135.83,1464.29,-83.94,0.31,-0.94,70.95,11.84,1333.54003,236.99,16.31,15.34,,7.68,1.31,2.08,7.89,2.77,0.86831,2.39,0.75242,3749.12377,1750.69,1018.73797,733.88702,533.94897,369.02301,200.55,485.86401,136.40069,135.83,114.19059,0,,0,10.99,12.68,2.8022,,0.18851
"The Hartford Insurance Group, Inc.",HIG,34880,NYSE,12,Finance,Insurance - Property and Casualty,YES,285.39,122.22,10.3,202412,11.1,12.64,0.91,17440,2548,0,13138,55080,4366,334,16113,55.58,20.97699,0.27096,0.32,0.32,0.0781,YES,1902891,123.74,95.3,2.13,4.04,12.09,11.72,10.31,2.94,20250130,20250424,202412,2.94,4.66,1.61,10.11,128.21,0,0,47.62,0,0,0,16,179,2.07,0,0,10,52.38,11,21,2.05,11.01,-0.06,1.7,94.66,16.13,0,-2.23,0.22,0,-0.22,2.67,10,2.28,10,2.82,0.12,8,10.06,0.06,10,10,0.03448,10,16.25,8.76,24.24,15.99,7.82,77.69,97.61,8.19,5.51,20088,4840,11.85,9.67,1.26,10.65,2.2,1.31,19.55,15.07,12.16499,3.88,3.2885,3488,26535,14874,4278,4048,3849,3111,3327,24.24121,24.24,30.44788,2.35,10.32499,2.08,11.72,16.93,2.00959,,0.33283
Huntington Ingalls Industries,HII,8055.94,NYSE,12,Aerospace,Aerospace - Defense,YES,39.24,205.32,13.96,202412,13.86,16.35,0.49,3228,3400,208,416,2991,2700,0,4666,119.25,36.65499,0.57865,1.08,1.01,0.87061,YES,951403,291.47,159.75,1.79,17.81,9.44,8.65,13.96,3.15,20250206,20250501,202412,3.15,-0.84,-33.33,-3.96,198.45,0,0,70,0,0,0,26,104,0,20,2,7,10,1,10,3.1,14.82,0,2.63,34.6,11.06,11.1,0,0,0,0,3.28,9,2.9,9,3.41,0.06,8,14.09,0.04,9,10,0.02346,9,0.67,11.08,-19.24,-18.22,-0.74,92.12,74.98,0.71,6.6,11954.78027,2810.86499,14.71,12.56,1.34,9.17,1.72,0.7,12.81,8.62,12.935,4.81,6.5426,805.59362,11535,10085,1064,738,643,550,876,-19.23642,-19.24,32.26415,2.27,5.39919,5.4,4.77,4.77,16.561,49.80199,1.0096
Hims & Hers Health,HIMS,6473.92,NYSE,12,Medical,Medical Info Systems,YES,222.17,29.14,0.27,202412,0.63,0.95,1.37,395.83099,156.138,64.427,0,221.367,0,0,476.716,2.16,0,0,1.79,1.5,1.49707,NO,23067498,68.74,11.26,-11.35,-29.51,15.64,20.51,0.28,0.11,20250224,20250505,202412,0.10999,40.42,0,-8.33,42.73,0,0,50,0,0,0,29,87,0,14.29,2,7,35.71,5,14,2.57,45.94,1,0,31.11,36.38,-13.09,0,0,,0.13,0.12,8,0.11,6,0.14,0.3,6,0.55,0.28,6,8,0.22019,8,,36.94,637.18,345.45,134.91,102.07,224.56,69.33,77.58,2286.54101,535.93902,104.07,30.72,1.24,82.75,13.5,4.38,16.17,16.17,-18.17301,11.73,-10.44601,809.23962,1476.51,303.37899,84.444,71.71099,71.71099,126.038,77.771,635.28411,637.18,384.78906,0,,0,8.56,4.45,,6.597,2.63849
Highwoods Properties,HIW,3144.77,NYSE,12,Finance,REIT and Equity Trust - Other,YES,107.62,29.22,3.61,202412,3.39,3.57,1.25,381.88101,0,0,348.20401,304.55099,3293.55908,28.811,2336.64306,22.04,58.68099,1.40952,1.25,1.25,0.11057,NO,1207887,36.37,23.68,1.11,1.46,-4.7,-4.45,3.62,0.85,20250211,20250422,202412,0.85,2.51,2.27,0,31.11,0,0,60,0,0,0.05,80,195,-2.11,10,1,6,30,3,10,2.53,8.63,-0.26,6.84,43.66,-1.89,0,-0.09,-0.1,,-0.31,0.85,4,0.82,5,0.85,0.02,5,3.61,0.02,4,5,0.01769,5,1.25,,-31.49,-5.74,-6.21,96.83,92.48,-0.98,3.2,829.02197,205.158,8.07,8.17,,7.59,1.33,3.81,4.33,1.79,4.2574,1.7,4.03919,628.95465,825.86,272.173,557.41198,251.45199,104.25399,102.248,408.208,-31.24567,-31.49,3.74648,6.25,1.03659,2,12.37,12.37,2.33929,,0.1374
Hikma Pharmaceuticals,HKMPF,5812.53,OTC,12,Medical,Medical - Drugs,NO,221.89,26.196,2.21,202412,,,0.67,2263,1156,986,949,1978,653,0,2321,10.46,21.957,0.28134,1.14,0.65,0.16582,NO,265,28.92,22.33,0,-3.6,4.7,8.61,,,20250226,20250528,,,,,,,0,0,20,0,0,0,,,8.57,0,0,1,80,4,5,1.6,,,3.66,58.71,12.2,,,,,,,,,,,,,,,,,,,,,,0,,,,8.77,,,,,,,11.74,2.5,,,,,,,,3127,1712,622,622,455,359,495,88.94736,,,2.22,10.24699,0.96,,,,1.78149,
Hecla Mining,HL,3582.48,NYSE,12,Basic Materials,Mining - Silver,YES,631.83,5.67,0.11,202412,0.14,0.19,1.94,214.15199,0,104.93599,49.053,197.83799,508.927,0.039,2039.47497,3.25,19.96999,0.24953,1.08,0.55,0.3041,NO,21886652,7.53,4.23,-3.08,11.83,7.79,15.48,0.1,0.04,20250213,20250514,202412,0.03999,75,50,0,7.28,0,0,33.33,0,0,0.15,8,46,-29.29,0,0,3,66.67,6,9,1.78,39.79,-32.14,0.26,43.64,23.72,50,-30,-30,,-1.32,0.04,2,0.04,2,0.04,0.61,2,0.08,0.61,3,4,0.33593,4,-11.5,,142.51,1200,29.55,87.5,350,29.12,2.51,981.638,236.26499,56.7,30.24,,13.78,1.75,3.85,3.1,2.42,1.22189,2.09,1.031,895.62042,929.92,731.71502,306.52099,116.05,66.216,35.80199,258.45098,142.51159,142.51,58.33078,0.53,18.37999,0.01,3.85,6.68,18.096,6.94659,0.31334
Henderson Land Development Co.,HLDCY,13459.06,OTC,12,Finance,Real Estate - Operations,NO,4841.39,2.78,0.26,202412,0.22,0.24,0.65,13666.20019,46.483,0,1745.40405,6874.85693,7657.40283,0,44075.91015,,,,,,,NO,141880,3.53,2.53,0.36,3.73,-5.12,-5.76,,,20250319,,,,,,,2.9,0,0,100,0,0,0,31,187,0,0,0,2,0,0,2,3,12.93,0,3.69,25.05,1.56,,,,0,0,,,,,,,,0.25,,2,2,0.03288,1,,1.92,,4,-17.31,,,-25.22,,3673.87011,,,11.58,6.73,10.38,,,,,,,,6729.52832,2633.31,1938.35803,1445.56396,1376.60595,1376.60595,806.85797,1252.578,-31.78812,,,4.48,-1.74651,0.1,,,,,
Houlihan Lokey,HLI,11089.92,NYSE,3,Finance,Financial - Miscellaneous Services,YES,70.14,158.1,4.49,202403,5.94,7.12,0.72,954.34002,1324.93603,0,232.48599,840.20202,0,0,1836.75,29.66,0,0,1.14,1.14,0.85914,NO,422267,190.49,122.38,-2.57,-7.23,-7.86,-8.96,5.59,1.64,20250128,20250514,202412,1.63999,6.47,11.45,8.61,184.29,0,0,44.44,0,0,0,47,117,24.19,11.11,1,4,44.44,4,9,2.33,26.62,-0.61,1.44,52.44,-4.31,-3.97,-2.21,-3.35,,-1.84,1.51,3,1.62,3,1.54,0.02,3,4.42,0.04,3,3,0.00445,3,5.67,,31.03,-1.1,32.29,98.98,127.82,5.8,11.79,2354.20703,631.21301,28.28,22.2,,32.23,5.33,4.94,20.04,20.04,23.63299,12.06,14.03899,3696.6416,1914.4,1278.88696,419.07501,390.539,390.539,280.30099,338.95901,10.25791,31.03,25.64028,2.01,15.52799,2.28,16,17.2,10.187,,0.70095
Halma,HLMAF,12645.98,OTC,3,Industrial Products,Security and Safety Services,NO,379.64,33.31,1.03,202403,1.16,1.26,1.19,1146.00695,2237.45996,383.134,582.61999,467.73001,894.85797,0,2182.781,5.96,29.56699,0.41979,2.72,1.63,0.38537,NO,7294,38.5,27.18,-2.63,-4.28,-2.91,-2.91,,,20240613,,,,,,,175,0,0,55.56,0,0,0,11,69,5,0,0,5,44.44,4,9,2.11,28.59,2.19,0,54.15,2.37,,,,,2.44,,,,,,,,1.02,,3,2,0.04248,2,,,,11.96,13.11,,,14.47,,2816.87011,,,26.44,,30.92,5.59,,,,,,,6322.98779,2556.67,1295.08703,599.08599,466.34698,427.75698,337.88198,523.63598,19.54372,,,0,,0,,,,,
Haleon PLC Sponsored ADR,HLN,46357.23,NYSE,12,Medical,Medical - Products,YES,4527.07,10.24,0.4,202412,0.49,0.54,0.25,7307.03222,33495.03906,1520.70104,2744.92895,7427.15478,11041.05957,0,20732.65039,4.58,34.749,0.53254,0.98,0.78,0.40949,NO,10454996,10.69,8.01,-1.44,4.6,8.47,7.34,0.39,0.05,20250227,20250507,202412,0.05,-18.69,-11.11,27.27,11.22,0,0,40,0,0,0,65,61,-6.78,6.67,1,6,53.33,8,15,2.1,20.9,2.08,1.03,83.21,9.59,,,,10.09,0.46,0.11,1,,,,,,0.43,,4,4,0.01666,4,,7.97,41.53,42.86,22.5,,,2.14,,14618.50976,3689.12011,26.26,18.88,2.62,20.54,2.24,3.23,17.65,11.87,,8.58,,11589.30761,14354.93,5634.26123,3345.54296,2931.50292,2440.78906,1842.73205,2256.8081,41.22164,41.53,,0.95,,0.11,12.86,12.86,10.35599,6.6957,0.66763
Hamilton Lane,HLNE,8154.12,NSDQ,3,Finance,Financial - Investment Management,YES,55.44,147.08,3.92,202403,4.97,5.14,1.28,247.13299,0,0,108.291,81.928,196.15899,0,675.958,15.55,25.304,0.33876,4.19,3.02,1.69468,NO,546444,201.62,107.22,-1.42,-3.01,-1.39,-0.66,5.21,1.25,20250204,20250522,202412,1.25,22.27,0.94,11.61,169.14,0,0,71.43,0,0,0,34,217,0,14.29,1,5,14.29,1,7,3,29.61,0,1.33,42.22,5.23,0,0,0,,0,1.12,3,1.13,3,1.2,0.03,3,3.53,0.04,3,3,0.00813,3,17.17,,74.2,17.37,26.7,90.4,81.88,4.74,20.76,675.35498,165.067,28.23,28.6,,36.29,9.46,11.79,36.69,28.54,28.21999,19.95,18.555,2718.03833,553.84,0,301.01,292.824,281.66101,140.858,219.71499,29.0854,74.2,44.33876,1.76,12.36499,1.96,31.13,40.81,5.75759,,0.48892
Hang Lung Properties,HLPPY,3968.06,OTC,12,Finance,Real Estate - Operations,NO,956.74,4.1475,0.43,202412,0.41,0.42,0.24,1728.906,0,0,408.061,2388.49389,6158.21484,0,18082.60937,18.9,25.40399,0.34056,0.72,,,NO,11740,5.98,3.36,-4.1,-2.64,7.03,6.07,,,20250124,,,,,,,,0,0,0,0,0,0,5,187,0,0,0,0,100,1,1,1,10.12,0,3.26,30.06,9.91,,,,,0,,,,,,,,0.48,,1,1,,1,,,,-27.12,-4.65,,,9.34,,1513.79003,,,9.88,,6.92,0.22,,,,,,,3968.06274,1440.71,613.69299,887.26,637.28198,518.56896,276.01501,396.63699,-45.55584,,,4.56,-5.23921,0.14,,,,,
Hilton Worldwide,HLT,54083.28,NYSE,12,Consumer Discretionary,Hotels and Motels,YES,239.61,225.71,7.12,202412,7.91,9.2,1.29,3272,10219,0,1583,4700,10616,0,-3706,-15.2,,-2.86455,0.7,0.7,0.35936,YES,2371694,273.45,194.47,-2.67,-12.89,-7.92,-8.68,7.12,1.76,20250206,20250423,202412,1.75999,5.07,3.78,4.76,265.25,0,0,58.33,0,0,0,7,165,0,0,0,14,41.67,10,24,2.23,28.54,0.05,0.27,39.55,-3.01,0,-0.44,0.16,0,-0.29,1.68,7,1.61,7,2.12,0.01,6,7.03,0.02,7,8,0.02034,7,66.25,11.88,34.53,14.65,11.08,91.55,105.31,9.17,20.09,12094.03222,2706.02392,31.7,24.52,2.4,27.61,,4.84,-54.47,25.43,13.88199,10.97,6.62309,6760.40966,11174,1126,2565,2352,1783,1535,1993,34.53111,34.53,-10.96824,0.22,0,0.6,13.74,15.93,7.18009,,0.68889
Hellenic Telecom Organization,HLTOY,6955.56,OTC,12,Utilities,Diversified Communication Services,NO,821.2,8.47,0.79,202412,,,0.5,1377.07995,956.57598,55.29499,580.43798,1782.651,918.16198,0,2126.21801,2.59,30.159,0.43182,0.77,0.74,0.41586,NO,9238,8.73,7.01,5.41,9.29,14.31,14.46,,0.22,20250226,20250513,202409,0.18,,,,,,,,,,,,,,,,,,,,,,,3.87,84.88,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,-43.95,-2.28,,,,,,4.93,3.27,1.79,26.86,18.75,15.05799,10.3,7.76259,,2104.36,0,1518.078,757.03698,734.31298,518.10998,1411.234,-9.96579,,,3.51,3.80069,0.33,13.86,14.72,6.22529,0,0.69989
Honda Motor Co.,HMC,42548.91,NYSE,3,Auto-Tires-Trucks,Automotive - Foreign,YES,1560.85,27.26,4.69,202403,3.98,4.07,0.61,81920.70312,6897.854,16856.49023,26210.91992,57432.08984,41799.96875,0,89740.52343,56.54,33.597,0.50596,1.38,1.13,0.6765,NO,1179729,37.32,23.7,-9.59,-1.41,-4.12,-4.52,4.3,1.31,20250213,20250509,202412,1.30999,36.57,-50,39.36,38.6,0,0,50,0,0,0,10,216,0,0,0,2,50,2,4,2,6.84,-0.91,3.79,26.14,4.1,-23,-12.32,-0.81,,-0.89,0.94,2,0.93,2,1.22,0.39,2,4.14,0,3,3,0.01132,3,19.31,,-1.7,54.79,-15.07,70.61,93.43,13.07,2.59,142243.75,35440.41015,6.34,6.7,,3.55,0.48,0.3,7.81,5.28,4.7967,3.38,3.0796,14182.96875,141510.3,110514.8984,17225.02929,11743.90429,11332.45019,7639.5,13150.51953,58.48013,-1.7,-6.60695,3.46,4.4302,1.03,4.76,4.76,5.72219,6.71029,0.71088
Harmony Gold,HMY,8924.84,NYSE,6,Basic Materials,Mining - Gold,YES,634.77,14.06,0.98,202406,1.08,1.46,1.85,615.09002,1.01699,192.761,139.31399,393.707,95.498,0,2190.77099,4.05,4.2167,0.04402,1.84,1.07,0.71884,NO,6562281,14.06,7.77,9.42,39.48,65.8,71.25,,,20240905,,,,,,,11.8,0,0,66.67,0,0,0,87,38,0,33.33,1,2,0,0,3,3.33,13.02,-6.09,0.61,100,61.57,,,,1.37,-2.01,,,,,,,,0.92,,1,1,,1,,16.33,,117.78,10.2,,,19.05,,,,,9.63,0.8,10.27,3.47,,,,,,,8924.83886,3306.92,2526.96606,878.04199,629.695,629.695,459.40499,866.53198,68.99333,,,0.84,0.51296,0.09,,,,13.87199,
Hongkong Land,HNGKY,9642.93,OTC,12,Finance,Real Estate - Development,NO,441.32,21.85,0.93,202412,1.7,1.95,0.37,1195.59997,0,0,0,781.59997,5785.2998,0,31987.30078,,15.128,0.17824,1.3,,,NO,2725,24.65,13.97,-4.17,-7.24,-1.38,0.61,,,20250307,,,,,,,,0,0,0,0,0,0,1,198,0,0,0,0,100,2,2,1,12.85,0,7.14,73.81,7.03,,,,,0,,,,,,,,0.9,,1,1,,1,,,,-43.98,82.8,,,8.56,,1561,,,11.2,,22.83,,,,,,,,9642.92968,2002.1,1033.40002,-161.9,-178.4,-444.29999,-1384.90003,422.29998,-137.83275,,,4.53,-6.0873,1.56,,,,,
Hang Lung Group,HNLGY,6483.43,OTC,12,Finance,Real Estate - Operations,NO,899.85,7.205,1.1,202412,,,0.28,1728.90502,0,0,408.061,2426.18505,6158.21484,0,18082.60937,20.09,25.40399,0.34056,0.71,,,NO,66,7.56,5.31,4.5,-0.76,-1.71,-1.71,,,20250124,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,84.28,1.55,,,,,,,,,,,,,,,,,,,,,,-19.71,,,,8.44,,,,,,,16.81,0.36,,,,,,,,1507.09,613.69299,942.682,637.28198,518.56896,276.01501,298.21398,-23.1081,,,4.6,2.3166,0.24,,,,,
Hennes & Mauritz,HNNMY,18472.87,OTC,11,Retail-Wholesale,Retail - Apparel and Shoes,NO,7080.71,2.6089,0.14,202411,0.15,0.16,1.4,7209.20996,831.096,3841.12988,1343.84301,6345.08007,6138.30517,0,4399.2871,0.62,58.25099,1.39529,1.14,0.53,0.31902,NO,78705,3.65,2.49,-2.65,-0.61,-0.42,-1.55,0.14,0.01,20250326,20250625,202502,0.00999,2.08,33.33,0,,0,0,58.33,0,0,0,40,230,-2.84,41.67,5,7,0,0,12,3.83,17.79,0,2.72,10.25,2.53,-50,0,33.33,,-2.08,0.01,1,0.06,1,0.04,,1,0.13,,3,3,0.03936,3,16.89,,15.96,40,4.76,600,100,-0.19,0.34,22271.41015,5525.1499,18.64,16.65,,5.74,4.2,0.84,24.96,11.24,7.4404,6.04,4.0433,6157.62255,22180.92,10393.83984,3850.6499,1732.26,1470.17395,1106.31896,3217.7019,34.19068,15.96,32.78111,2.55,-0.30916,0.07,4.68,4.68,14.984,2.7602,1.29019
Hoya,HOCPY,40010.7,OTC,3,Computer and Technology,Electronics - Miscellaneous Products,NO,345.86,115.685,3.57,202403,3.73,4.19,0.83,5318.31982,618.21398,787.46197,1100.81799,1169.01794,119.801,0,6100.53222,19.23,2.5873,0.02656,5.27,,,NO,41341,145.08,108.76,-1.3,-2.17,-6.57,-6.71,3.93,0.95,20250203,20250521,202412,0.94999,,,2,149.3,0,0,25,0,0,0,16,42,0,0,0,1,75,3,4,1.5,30.97,1.91,0.51,19.07,-3.06,,-0.51,,3.6,2.7,1,1,0.98,2,,0.01,,3.19,,2,2,0.0549,2,5.36,14.66,15.45,2.59,4.62,102.63,88.64,2.51,1.34,5469.79003,1409.38,29.44,27.61,2.11,25.49,6.02,7.04,21.06,20.56,19.732,16.7,16.00799,20005.3496,5490.53,765.66699,2001.526,1629.96105,1616.35803,1256.39904,1256.39794,-0.51618,15.45,13.8728,0.56,-3.9097,0.6,24.17,24.17,5.00829,,0.6908
HarleyDavidson,HOG,3130.86,NYSE,12,Auto-Tires-Trucks,Automotive - Domestic,YES,124.54,25.14,3.44,202412,3.28,4.2,1.49,4996.6372,61.65499,745.79302,234.315,3557.49389,4468.66503,0,3158.5,24.81,58.589,1.4148,1.4,1.19,1.12903,NO,2812956,43.74,24.13,-0.4,-4.74,-14.58,-16.56,3.33,-0.93,20250205,20250424,202412,-0.93001,1.11,10.98,-36.76,32.89,0,0,58.33,0,0,0,11,145,0,0,0,7,41.67,5,12,2.17,7.66,-0.06,2.86,5.15,-11.06,0,-0.66,0,0,0,-0.68,5,0.9,5,1.16,0.24,3,3.62,0.32,5,5,0.03394,5,29.33,20.79,-35.56,-29.36,-4.53,-96.56,52.21,-11.13,5.61,4065.88305,1132.29003,7.55,5.99,0.37,4.57,1.01,0.64,13.64,5.6,7.29419,3.64,4.7939,626.17199,5186.8,3377.70605,793.26702,547.88598,517.138,455.35699,700.73797,-35.55534,-35.56,-17.2406,1.79,29.12999,0.72,9.25,10.98,16.84199,4.6975,0.39383
Hong Kong & China Gas Co.,HOKCY,14004.23,OTC,12,Utilities,Utility - Gas Distribution,NO,18659.87,0.7505,0.04,202412,,,0.4,3401.13598,569.95098,327.80599,1267.37097,5126.09521,5213.46679,0,9069.08789,0.47,36.026,0.56314,0.59,,,NO,15908,0.88,0.65,-2.55,4.32,8.77,8.77,,,20250319,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,100,1,1,1,,,3.27,43.7,23.52,,,,,,,,,,,,,,,,,,,,,,0,,,,-2.3,,,,,,,12.5,1.61,,,,,,,,7109.09,6236.07617,1914.83605,1454.375,1171.57104,732.01599,732.01599,-7.22161,,,2.96,-1.5826,0.02,,,,,
Hologic,HOLX,13759.59,NSDQ,9,Medical,Medical - Instruments,YES,224.39,61.32,4.08,202409,4.28,4.62,0.97,3823.30004,4287.70019,679.79998,653.70001,1037.19995,2509.30004,0,5130,21.15,34.28499,0.52171,3.49,3.03,2.4005,YES,2704277,83.72,60.7,0.51,-2.99,-14.52,-14.94,4.13,1.03,20250205,20250501,202412,1.02999,2.53,-0.98,0.98,82.53,0,0,68.42,0,0,0.03,69,47,-6.29,0,0,13,31.58,6,19,2.42,14.34,-0.03,0,2.69,-10.69,0.2,0,0,0,0.07,1.02,8,1.01,8,1.1,0.01,7,4.09,0.02,8,9,0.00597,9,-4.29,7.03,44.44,3.03,4.79,98.54,98.54,0,-1.37,4082.21411,1001.90899,14.85,13.26,2.04,11.15,2.9,3.41,19.72,13.06,20.14399,10.94,16.05299,1528.84387,4030.3,1802.5,1296.19995,987.20001,865.09997,789.5,1277.69995,73.13596,44.44,73.13596,0,,0,18.42,24.04,5.6942,2.6624,0.45522
Home BancShares,HOMB,5587.23,NYSE,12,Finance,Banks - Southeast,YES,198.55,28.14,2.01,202412,2.19,2.23,1.08,15522.82031,1438.57995,0,14608.75,17489.73046,1039.99597,0,3961.0249,19.92,20.79599,0.26255,0.89,0.89,0.05226,NO,1207586,32.09,22.4,0.11,-4.12,1.19,-0.57,2.01,0.5,20250115,20250416,202412,0.5,1.34,-5.66,-3.85,32.57,0,0,50,0,0,0,21,169,0,0,0,4,50,4,8,2,12.86,0,2.77,59.24,4.29,0,0,0,,0,0.52,3,0.54,3,0.55,0,3,2.02,0.02,4,4,0.01642,4,3,,2.37,1.01,8.83,108,110.2,9.17,17.9,1033.953,253.66299,14,12.62,,12.56,1.41,3.81,10.31,7.36,8.39439,1.77,1.77939,1396.80627,1468.35,376.638,640.35101,596.70697,522.34197,402.24099,445.57598,2.36989,2.37,-8.15701,2.9,9.70149,0.78,27.39,39.51,0.10093,,0.06449
Honeywell International,HON,136703.97,NSDQ,12,Conglomerates,Diversified Operations,YES,649.92,210.34,9.89,202412,10.35,11.22,1.08,27908,28481,6442,7819,21256,25479,0,19154,29.47,57.09199,1.33021,1.31,1.01,0.64203,YES,4729985,236,190.36,-0.26,-0.91,-6.73,-6.88,9.79,2.47,20250206,20250424,202412,2.47,4.06,3.2,6.93,240.15,0,0,47.83,0,0,0,21,39,0,0,0,11,52.17,12,23,1.96,20.33,-1.03,2.15,43.78,-2.05,0,-2.11,-0.71,-2.52,-0.96,2.31,7,2.21,6,2.57,0.01,6,9.73,0.02,8,9,0.00453,6,6.85,7.94,0.83,7.97,4.61,89.4,98.14,5.01,2.61,40318.90625,9574.75488,21.49,18.74,2.56,17.5,7.14,3.55,35.78,15.43,17.25,9.04,9.215,15189.33007,38498,23836,9605,8271,7213,5705,7812.2539,0.83068,0.83,4.96859,2.05,4.86009,4.52,14.82,16.66,4.97739,3.75049,0.54286
